g1, 10, 2, 9, 3, 165
A, 107, 25
P, 0, 0
W, 0, 0
D, 107, 65
A, 111, 140
D, 111, 155
A, 124, 185
A, 125, 195
A, 127, 220
A, 129, 275

g2, 19, 7, 3, 4, 1900
A, 102, 10
A, 103, 20
D, 103, 25
A, 110, 50
A, 111, 110
D, 110, 115
A, 113, 165
D, 111, 175
D, 102, 185
D, 113, 190
A, 119, 255
A, 122, 260
P, 0, 0
W, 0, 0
D, 122, 275
A, 127, 280
A, 129, 300
D, 119, 330
D, 129, 350

g3, 15, 10, 7, 1, 175
A, 101, 55
A, 102, 80
A, 103, 85
D, 102, 100
D, 101, 105
D, 103, 140
A, 118, 150
A, 121, 175
D, 118, 200
A, 124, 215
A, 125, 260
A, 126, 265
A, 129, 305
P, 0, 0
W, 0, 0

g4, 13, 4, 9, 3, 720
A, 103, 5
D, 103, 65
A, 105, 80
D, 105, 115
P, 0, 0
W, 0, 0
A, 107, 145
A, 108, 170
A, 112, 190
D, 112, 210
A, 117, 255
D, 107, 270
A, 122, 325

g5, 11, 3, 3, 5, 1000
A, 106, 20
A, 111, 55
D, 111, 125
D, 106, 145
A, 114, 160
D, 114, 165
A, 123, 170
P, 0, 0
W, 0, 0
A, 126, 190
A, 128, 200

g6, 15, 3, 4, 1, 220
A, 101, 10
A, 102, 65
D, 101, 70
D, 102, 75
A, 105, 110
D, 105, 115
A, 109, 120
A, 111, 130
P, 0, 0
W, 0, 0
D, 109, 175
D, 111, 190
A, 118, 195
D, 118, 225
A, 120, 240

g7, 15, 3, 2, 1, 310
A, 101, 20
A, 104, 30
D, 104, 50
A, 109, 65
A, 110, 95
A, 115, 130
D, 101, 145
A, 117, 150
D, 117, 155
D, 109, 160
D, 115, 185
D, 110, 190
P, 0, 0
W, 0, 0
A, 128, 220

g8, 3, 2, 5, 2, 0
A, 103, 10
P, 0, 0
W, 0, 0

g9, 5, 9, 3, 5, 125
A, 103, 5
D, 103, 30
A, 115, 55
P, 0, 0
W, 0, 0

g10, 16, 5, 7, 5, 1550
A, 101, 5
P, 0, 0
W, 0, 0
D, 101, 15
A, 104, 25
A, 105, 80
A, 107, 90
D, 107, 95
A, 109, 120
D, 104, 135
D, 105, 155
D, 109, 160
A, 116, 200
A, 119, 220
D, 116, 235
D, 119, 255

g11, 9, 9, 8, 3, 540
A, 105, 45
A, 106, 50
D, 106, 150
A, 109, 180
A, 114, 185
A, 115, 235
P, 0, 0
W, 0, 0
D, 109, 260

g12, 5, 10, 3, 4, 0
A, 103, 5
P, 0, 0
W, 0, 0
A, 107, 40
A, 113, 75

g13, 6, 9, 6, 4, 80
A, 104, 25
D, 104, 45
P, 0, 0
W, 0, 0
A, 107, 85
A, 110, 105

g14, 12, 9, 7, 3, 375
A, 102, 5
P, 0, 0
W, 0, 0
D, 102, 45
A, 105, 50
D, 105, 70
A, 111, 75
A, 112, 85
D, 111, 140
A, 114, 155
A, 120, 180
A, 122, 190

g15, 21, 5, 6, 3, 795
A, 102, 5
A, 105, 20
D, 102, 40
A, 109, 60
A, 110, 90
A, 114, 100
P, 0, 0
W, 0, 0
D, 109, 105
D, 105, 110
D, 110, 125
D, 114, 130
A, 124, 155
D, 124, 160
A, 129, 170
A, 131, 185
D, 131, 190
A, 136, 220
A, 137, 225
A, 138, 240
D, 138, 260

g16, 13, 4, 8, 1, 470
A, 102, 50
A, 104, 65
A, 106, 95
A, 109, 105
P, 0, 0
W, 0, 0
A, 110, 115
A, 113, 135
D, 104, 185
D, 109, 200
A, 118, 210
D, 102, 255
D, 118, 260

g17, 14, 3, 10, 5, 700
A, 101, 5
P, 0, 0
W, 0, 0
D, 101, 30
A, 107, 35
D, 107, 70
A, 110, 90
D, 110, 115
A, 114, 120
A, 115, 125
D, 114, 130
A, 125, 145
D, 115, 170
A, 139, 220

g18, 6, 10, 4, 4, 140
A, 101, 45
D, 101, 80
A, 114, 90
A, 122, 125
P, 0, 0
W, 0, 0

g19, 3, 8, 2, 2, 0
A, 102, 40
P, 0, 0
W, 0, 0

g20, 12, 7, 8, 5, 600
A, 102, 5
D, 102, 10
A, 111, 25
D, 111, 50
A, 113, 75
P, 0, 0
W, 0, 0
A, 117, 90
D, 117, 120
D, 113, 135
A, 124, 165
A, 125, 220

g21, 18, 3, 10, 4, 1340
A, 101, 20
A, 102, 30
D, 102, 40
A, 106, 65
A, 107, 80
D, 106, 140
A, 112, 145
D, 112, 150
D, 107, 155
P, 0, 0
W, 0, 0
D, 101, 160
A, 118, 170
D, 118, 190
A, 122, 195
D, 122, 205
A, 126, 215
A, 128, 255

g22, 4, 10, 5, 4, 0
A, 110, 25
P, 0, 0
W, 0, 0
A, 115, 30

g23, 18, 7, 5, 4, 1760
A, 101, 5
A, 102, 20
D, 101, 45
A, 107, 50
A, 110, 65
A, 112, 90
D, 102, 95
D, 112, 100
A, 119, 105
A, 120, 110
A, 121, 155
D, 107, 160
P, 0, 0
W, 0, 0
D, 119, 200
D, 120, 220
A, 126, 230
A, 127, 235

g24, 13, 8, 9, 1, 275
A, 101, 10
D, 101, 15
A, 104, 95
A, 106, 125
D, 106, 130
A, 111, 150
P, 0, 0
W, 0, 0
A, 112, 215
D, 112, 230
D, 111, 245
D, 104, 250
A, 127, 295

g25, 21, 7, 5, 3, 2040
A, 101, 5
A, 103, 30
A, 105, 50
D, 101, 65
A, 109, 80
A, 111, 95
A, 112, 100
D, 111, 105
D, 112, 160
D, 103, 180
D, 105, 190
A, 128, 250
P, 0, 0
W, 0, 0
D, 109, 260
A, 130, 265
A, 132, 270
A, 133, 275
D, 130, 280
D, 132, 285
D, 133, 325

g26, 6, 5, 6, 2, 210
A, 105, 10
P, 0, 0
W, 0, 0
D, 105, 115
A, 113, 145
A, 114, 220

g27, 13, 2, 2, 1, 185
A, 101, 5
D, 101, 10
A, 110, 15
D, 110, 35
A, 114, 40
P, 0, 0
W, 0, 0
A, 116, 45
A, 117, 60
A, 118, 120
D, 118, 160
D, 114, 200
A, 128, 255

g28, 22, 9, 4, 2, 510
A, 102, 20
A, 103, 30
A, 104, 40
D, 104, 45
A, 106, 70
A, 108, 80
A, 109, 90
A, 110, 115
P, 0, 0
W, 0, 0
A, 112, 125
A, 113, 130
D, 103, 140
A, 115, 175
A, 116, 180
D, 112, 185
D, 113, 200
D, 108, 220
A, 121, 225
A, 126, 255
D, 116, 265
A, 131, 275

g29, 12, 2, 8, 3, 915
A, 101, 5
A, 104, 35
D, 101, 55
A, 111, 110
D, 111, 135
A, 117, 140
P, 0, 0
W, 0, 0
D, 104, 160
A, 120, 170
A, 128, 235
D, 117, 245

g30, 5, 7, 6, 4, 160
A, 106, 15
A, 115, 45
P, 0, 0
W, 0, 0
D, 106, 55

g31, 20, 8, 3, 3, 1050
A, 103, 15
A, 105, 25
D, 103, 30
A, 108, 35
A, 110, 40
A, 113, 50
A, 114, 65
D, 110, 75
D, 108, 95
D, 114, 105
P, 0, 0
W, 0, 0
A, 120, 110
A, 122, 130
D, 113, 135
A, 126, 155
D, 122, 180
D, 120, 205
