100 2000
0 1 6620045.328
0 2 7800080.565
0 3 10450004.921
0 6 11580082.623
0 7 2600025.649
0 11 9930069.667
0 12 19570091.587
0 13 15500075.865
0 15 7550046.714
0 16 6080007.054
0 17 11970053.237
0 20 6960037.646
0 21 8210058.816
0 22 2650002.308
0 25 240061.127
0 31 19290037.991
0 32 18050025.418
0 33 2110076.147
0 34 17540033.801
0 35 6280088.482
0 36 17340038.874
0 39 1700042.336
0 41 10410001.526
0 45 19260065.75
0 48 950010.928
0 49 10320071.643
0 51 3030008.431
0 53 18780066.473
0 54 13030070.404
0 58 4950086.364
0 59 17820097.575
0 60 11430068.291
0 62 15070038.331
0 63 15340050.631
0 67 14130070.506
0 68 14830039.819
0 71 17190075.267
0 72 8910013.268
0 74 8010089.338
0 76 15170047.049
0 78 9730065.779
0 81 5860071.096
0 82 11770060.962
0 83 7910087.884
0 84 11550002.985
0 85 4260007.254
0 86 9390000.851
0 95 8520062.036
0 96 13610039.261
0 97 7250074.498
1 2 8620044.916
1 4 4710000.698
1 5 12030087.607
1 6 5110079.086
1 10 4770048.802
1 12 18330025.856
1 14 18890058.798
1 17 2440083.147
1 19 11170084.773
1 22 2280077.52
1 24 16540006.512
1 28 18380097.923
1 29 17690079.433
1 33 17260013.513
1 35 11520013.902
1 36 17960021.907
1 37 17010044.044
1 38 7240063.016
1 42 5130045.879
1 43 3770018.761
1 45 2980070.826
1 46 8170093.288
1 54 7820046.447
1 55 12550009.704
1 59 15010068.04
1 65 12580040.854
1 68 14510060.303
1 69 10520099.655
1 72 19350012.866
1 73 10600085.324
1 77 14800010.655
1 79 13170010.748
1 80 19950062.569
1 85 16000027.537
1 88 1620070.868
1 90 11530071.421
1 91 6610032.577
1 92 2420007.298
1 93 3230092.166
1 99 8720058.045
2 3 5980055.394
2 6 8980076.228
2 9 16240024.796
2 10 760078.293
2 11 19600002.005
2 17 13450011.171
2 18 9420037.896
2 19 8850095.924
2 20 810049.322
2 21 750009.391
2 24 10180003.52
2 30 15080086.677
2 31 13090049.785
2 32 17530078.037
2 34 7870007.895
2 36 19170035.73
2 39 6390047.852
2 41 4430076.071
2 42 14900016.866
2 43 17480003.859
2 44 16660013.359
2 48 15420035.547
2 50 10700072.728
2 51 2000028.02
2 52 7960065.938
2 54 3600087.012
2 55 7490065.309
2 58 15730080.397
2 61 16830093.8
2 64 2320068.484
2 66 18100038.154
2 68 17400016.356
2 70 8470073.495
2 71 6190082.602
2 73 4380099.335
2 76 3750039.871
2 84 10240061.411
2 86 1400006.798
2 89 11310038.769
2 91 5570034.164
2 94 2690014.007
2 97 16210034.929
2 98 13660044.788
3 7 10890020.33
3 8 2640086.821
3 10 14400065.573
3 13 4500051.829
3 15 9660033.144
3 17 10210031.221
3 19 4540081.563
3 20 2830041.438
3 22 7520035.775
3 26 17230010.333
3 30 6420064.614
3 32 3110045.859
3 33 1610048.757
3 34 5880059.829
3 36 2090052.947
3 39 8630041.845
3 40 11000043.354
3 42 8300074.814
3 46 910058.45
3 48 5060066.365
3 53 7770094.276
3 54 4330091.628
3 55 17080053.345
3 59 15220051.5
3 60 3140012.559
3 62 14890077.914
3 63 16310074.223
3 64 16380081.257
3 65 260061.12
3 69 17580013.939
3 73 13910073.039
3 74 12420070.07
3 78 13570026.597
3 82 9370065.01
3 85 16650004.694
3 88 7570051.218
3 89 7090039.413
3 95 1000042.678
4 7 2270052.709
4 9 3050000.088
4 11 18310035.402
4 18 14310062.513
4 21 16180084.353
4 23 7410068.057
4 29 12410013.297
4 30 10430065.835
4 31 9770083.022
4 32 5550099.024
4 34 17810056.272
4 35 9400025.204
4 40 5420084.585
4 45 12690014.192
4 46 7160005.094
4 47 16510061.387
4 52 5350052.778
4 53 4080099.196
4 54 18790022.918
4 64 10390092.917
4 65 6680091.931
4 66 4030007.752
4 68 17780056.797
4 70 17860096.082
4 72 1980048.999
4 73 13240001.573
4 78 8550055.207
4 87 17490027.99
4 91 11190002.501
4 96 9510077.677
5 6 7780061.773
5 10 18200052.872
5 12 9620058.592
5 18 17640066.668
5 19 15270089.946
5 24 6290008.038
5 25 19550089.438
5 27 15950037.459
5 28 5540078.303
5 29 770040.03
5 32 19940020.351
5 35 8600071.055
5 41 5530056.289
5 43 16440051.776
5 44 14100056.923
5 45 8420028.876
5 49 17360088.03
5 52 18440086.337
5 53 14080076.391
5 54 18290008.981
5 58 7060089.748
5 59 8530009.644
5 61 12540059.79
5 63 15720066.622
5 66 15590033.851
5 67 4960097.956
5 68 18910080.585
5 70 3350068.699
5 71 650066.524
5 74 6880057.813
5 76 9750018.709
5 79 17870029.064
5 81 11920052.617
5 82 3880091.143
5 83 2220040.209
5 86 1780011.553
5 90 15880088.917
5 91 15910044.292
5 93 410063.436
5 95 15890038.059
5 98 7440050.38
5 99 5100062.261
6 8 13460040.851
6 12 13530078.326
6 20 19310053.392
6 22 3460080.063
6 28 11960094.778
6 32 9880034.889
6 33 2960069.588
6 34 3260000.139
6 35 15970081.534
6 36 9070048.776
6 39 6120052.049
6 42 15780068.252
6 49 17290006.695
6 50 7840086.942
6 54 7530036.944
6 59 13380026.053
6 68 2770042.47
6 71 19150006.491
6 73 2050055.636
6 75 12800058.997
6 77 19270019.904
6 79 10080065.156
6 80 9840074.601
6 81 130024.229
6 85 9210065.188
6 87 19640051.461
6 89 18040091.71
6 91 16050018.259
6 94 6980085.975
6 96 2610022.306
6 98 12850094.425
7 9 2290067.13
7 10 18990007.317
7 12 4830067.649
7 13 11710031.462
7 14 16970050.779
7 17 18710019.18
7 20 8330037.538
7 21 3360024.965
7 23 11470038.111
7 25 11390030.451
7 27 1790039.529
7 28 270065.615
7 29 8490051.574
7 31 10550046.919
7 36 16850044.085
7 40 13390072.318
7 45 1210081.991
7 48 14590088.196
7 50 16320022.442
7 53 8140022.905
7 54 13580031.846
7 57 880004.25
7 62 17500008.669
7 63 17980035.384
7 64 3640040.519
7 67 8610043.777
7 70 3850023.697
7 72 2260091.452
7 76 510014.218
7 77 16300072.843
7 80 7500063.59
7 89 17560006.661
7 91 1200052.339
7 97 12330092.339
7 99 8900041.439
8 9 6150099.442
8 11 5490003.823
8 12 11690016.32
8 13 6210043.01
8 15 10300073.787
8 16 4750045.63
8 19 14010003.0
8 20 16230015.167
8 22 30069.927
8 24 13300091.535
8 28 11570004.905
8 29 16590014.505
8 31 1020098.586
8 32 11440051.108
8 33 2330052.041
8 34 14520038.903
8 35 1230072.317
8 36 9000012.193
8 38 18260041.661
8 43 16340064.432
8 44 5380018.914
8 49 13180096.347
8 52 700077.013
8 54 3570064.163
8 55 19790046.617
8 57 13510060.314
8 62 1850051.769
8 64 18810080.209
8 65 3580090.323
8 67 19120010.211
8 69 6830098.398
8 71 8880096.455
8 72 11820039.965
8 74 18770017.099
8 75 14770014.356
8 76 8120019.846
8 77 5720051.939
8 78 19410008.987
8 80 1080045.629
8 82 14650059.932
8 83 970002.033
8 84 4410019.393
8 93 12140032.84
8 94 14450075.814
8 97 5930006.811
8 98 10070095.708
9 11 7370072.81
9 13 1650099.892
9 15 16980081.787
9 18 2970096.445
9 20 14170021.01
9 24 4840090.402
9 26 9310057.585
9 27 10490094.507
9 29 10590018.231
9 30 6750075.365
9 32 16560090.933
9 34 11270056.638
9 37 3080019.182
9 38 3910027.384
9 39 13720029.652
9 46 13640010.456
9 48 15650056.33
9 49 17430050.883
9 53 17790065.912
9 54 15200032.692
9 55 12570090.337
9 57 9320089.465
9 58 14150017.786
9 59 10330039.447
9 62 12970099.744
9 64 17950009.991
9 65 1040068.028
9 66 8810073.75
9 68 19720046.713
9 71 3920037.556
9 72 12960064.277
9 73 1130040.824
9 74 7330012.014
9 76 6330025.9
9 81 3800082.167
9 84 5040066.984
9 87 11510059.759
9 90 170004.895
9 91 19140070.885
9 93 18170041.457
9 95 15700088.584
9 97 17940060.788
10 11 14190074.502
10 13 8990057.408
10 15 7080041.412
10 21 980039.607
10 22 14960036.189
10 24 14670056.478
10 26 9330099.115
10 27 6970055.258
10 29 9650013.414
10 30 18490048.192
10 32 14200085.219
10 35 16120056.076
10 36 9990038.571
10 38 7190002.875
10 39 6070054.069
10 47 17090092.674
10 51 9970071.13
10 54 480085.832
10 56 14340062.754
10 58 15300075.971
10 62 14630074.482
10 65 2450088.139
10 66 14020019.961
10 70 13710089.902
10 71 11320082.162
